"gene"	"protein_id"	"gene.y"	"product"	"Amean"	"Fstat.ANOVA"	"rawP.ANOVA"	"FDR.ANOVA"	"FC.temp.A.42vsA.37"	"rawP.temp.A.42vsA.37"	"FDR.temp.A.42vsA.37"	"FC.temp.N.42vsN.37"	"rawP.temp.N.42vsN.37"	"FDR.temp.N.42vsN.37"	"FC.nitr.A.42vsN.42"	"rawP.nitr.A.42vsN.42"	"FDR.nitr.A.42vsN.42"	"FC.nitr.A.37vsN.37"	"rawP.nitr.A.37vsN.37"	"FDR.nitr.A.37vsN.37"	"FC.both.N.42vsA.37"	"rawP.both.N.42vsA.37"	"FDR.both.N.42vsA.37"	"FC.both.A.42vsN.37"	"rawP.both.A.42vsN.37"	"FDR.both.A.42vsN.37"	"AMS.37.1"	"AMS.37.2"	"AMS.37.3"	"AMS.42.1"	"AMS.42.2"	"AMS.42.3"	"NMS.37.1"	"NMS.37.2"	"NMS.37.3"	"NMS.42.1"	"NMS.42.2"	"NMS.42.3"
"MCA_RS00055"	"WP_010959384.1"	"atpG"	"F0F1 ATP synthase subunit gamma"	8.66416322512999	6.82862468862345	0.00728634406713929	0.0275211476408885	-2.13517717051207	0.0470183035887711	0.211349922152283	-3.34131561046307	0.00450327719025028	0.0209164467351135	-1.19736235697916	0.605977000240972	0.934856684501967	-1.8737393739536	0.0911665493084133	0.20090660889386	-1.78323392084827	0.116204379639488	0.387202353069114	-4.00076553475532	0.00179854583826158	0.00836654835498061	10.1623783139277	8.56326700254561	8.03404294919152	8.36822741166423	8.19302290902986	6.91537058918384	9.84414482056241	9.85439704488886	9.77890729006919	8.19157315348273	8.13919285185099	7.92543436516293
"MCA_RS00060"	"WP_010959385.1"	"atpD"	"F0F1 ATP synthase subunit beta"	10.1615708602975	7.47575341512891	0.00530738791357102	0.0232182942448615	-2.06324195111517	0.036543995452256	0.195462066375083	-3.16250652302559	0.00303534695578664	0.0168921235172493	-1.13192730751812	0.691737409090045	0.948480814543448	-1.73500131270694	0.0976474142041597	0.21004582076682	-1.82276895116088	0.0742450994217737	0.324885500202158	-3.57972749361685	0.00151273202960329	0.00768528684386393	11.5251014181275	10.1295892057273	9.66710292639041	9.92825041615717	9.59088813517409	8.6679159619886	11.2457609446016	11.1523663619331	11.308476506764	9.77276382167623	9.76964905891505	9.18098556611468
"MCA_RS00065"	"WP_010959386.1"	NA	"ATP synthase epsilon chain 1"	9.17082361949724	11.2851874058347	0.00110420037713931	0.0115728719931873	-1.97780597527297	0.0148623525455308	0.14322828751722	-3.26469386483363	0.000400477567717679	0.00691266940924556	1.14166661005478	0.586497206315217	0.928416506656604	-1.44583748080311	0.147236393921099	0.27432992637345	-2.25799504313598	0.005482725034809	0.0914095317352859	-2.859586008806	0.000989999175523669	0.00614042433407625	10.4348029417755	9.4612339213903	8.83671236544949	8.71229172541889	8.91823679329358	8.15051800022836	10.1671974394232	10.0486622582398	10.1126057172459	8.61388103014289	8.42897954453415	8.16476169682475
"MCA_RS00070"	"WP_010959387.1"	"glmU"	"UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase"	8.9765990812391	7.69570040951305	0.0047843632006592	0.0218538758849388	-1.37286462891028	0.0716683877459241	0.249277775267647	-1.97545478114328	0.00129622659411337	0.0108949941526463	1.08590615691378	0.614514050756525	0.93516757666074	-1.32509520259193	0.104366741185623	0.218214223151477	-1.49080215314283	0.028926005319948	0.211400849664524	-1.81917633357716	0.00313859041039432	0.0115385996542133	9.59462394254111	9.01327680666772	8.79228312094628	8.36090383632492	8.79232007893167	8.8753918275219	9.6413359919765	9.45382047169883	9.52331545163525	8.8736900759685	8.33547616271552	8.46275120794099
"MCA_RS00075"	"WP_010959388.1"	"glmS"	"glutamine--fructose-6-phosphate transaminase (isomerizing)"	9.44726940309515	10.8020846831775	0.00131695039613921	0.0123610945076296	-1.17960208289185	0.135035520784527	0.33929457948112	-1.72004074119011	0.000254061408043927	0.00606746654013568	1.09715831762109	0.38460880759736	0.823231131575719	-1.32902730358457	0.017978566233871	0.0793296881823777	-1.29421023672796	0.0285537734583097	0.211400849664524	-1.5677233755285	0.0010801650610287	0.00645217394003391	9.56240543976528	9.56334905634562	9.36605485679948	9.27855601809768	9.27745139975863	9.22090111015941	9.89215818970401	9.88082128135681	9.94994211294112	9.28228717180202	9.26029711441996	8.83300908599174
"MCA_RS00080"	"WP_010959389.1"	"metG"	"methionine--tRNA ligase"	9.1992978318224	9.78265339473586	0.0019475731341535	0.0143699102261801	-1.12831668976336	0.219315576587726	0.441103543627701	-1.4405272185088	0.00231943855365815	0.0147259170482164	-1.1120346211335	0.276198562570029	0.757244319995187	-1.41973982499798	0.00304007388411161	0.036591604838409	-1.01464169219233	0.878214583498315	0.951532564274083	-1.60191613966693	0.00035293635311749	0.00434665545892533	9.34882997116774	8.97499121530747	9.04120917998848	8.98684183624411	8.97352656827202	8.88214580494262	9.66074702632009	9.62055718811849	9.60060586887169	9.08639025580211	9.04176260241724	9.17396646441669
"MCA_RS00085"	"WP_010959390.1"	NA	"adenosylmethionine--8-amino-7-oxononanoate transaminase"	7.90752508589098	12.1252753906487	0.000823222788477431	0.0101497346237888	-1.85711923444798	0.0100940474534514	0.131723617367721	-2.44951022967252	0.000920523640275893	0.00924486159257213	-1.25215581345871	0.283989201992024	0.757244319995187	-1.651573263212	0.0288282413866125	0.10372011402799	-1.48313749334297	0.0739853968558169	0.324885500202158	-3.06716847421101	0.000157184300291066	0.00313644725515003	8.43902121633191	7.83990986736785	7.99705254247159	7.74249354522292	7.17420234155521	6.68008840435749	8.83842046258814	8.83107083111335	8.7780152379401	7.93484630528469	7.60060433524548	7.03457594121301
"MCA_RS00090"	"WP_010959391.1"	NA	"16S rRNA (uracil(1498)-N(3))-methyltransferase"	5.72172098166897	14.032580442251	0.00044553920391683	0.00759636663320596	-2.37445153365553	0.00351790305082629	0.105485021005148	-3.33311056876342	0.000319667437823329	0.00652786822487045	-1.06180331551676	0.802362856933676	0.957027452209874	-1.49049487965265	0.115955212867792	0.234001125135167	-2.23624422617284	0.00551531299293021	0.0914095317352859	-3.53910785289694	0.000215516782389594	0.00348754095098127	6.77435080355499	6.03810481973171	5.72736780692078	5.14097859933039	5.16160584830405	4.49445605620592	6.81937814150507	6.77482096355758	6.67299858274074	5.70129669469753	4.83120474742438	4.52408871605453
"MCA_RS00095"	"WP_010959392.1"	NA	"membrane protein"	4.62875976943647	11.274065172922	0.0011086194996709	0.0115728719931873	-2.11953096929599	0.00580670224388581	0.109014890413508	-2.67931792881449	0.000937362192036661	0.00932799142536327	-1.11694001828321	0.625343855256008	0.937102478507249	-1.41193380033066	0.145453511530527	0.27248949998276	-1.89762291134827	0.0142005023602373	0.152730934959573	-2.9926374163966	0.000416528615986483	0.00442192811327424	5.44973189132153	4.9656078599765	4.60363900590031	4.28020101625476	3.96123455583916	3.52630804611885	5.49176417327911	5.47820389054074	5.5420280381571	4.59319266340919	4.18647111492218	3.46673497751824
"MCA_RS00100"	"WP_010959393.1"	"djlA"	"co-chaperone DjlA"	6.78254213020824	3.11320803785352	0.0705828558606502	0.123103968847241	1.20415052075633	0.22249236864349	0.444545029048554	1.40113761753462	0.038653910667356	0.0894258665553704	1.07618121174481	0.61943611328015	0.93516757666074	1.25223379724368	0.145746061350707	0.272700681108387	1.11891055857037	0.450701066676749	0.724632589060174	1.50787797905965	0.0155577082122865	0.0375988278947131	6.78243749918204	6.71786366176365	6.76812034312146	6.70985132359579	7.28796180045783	7.07465560774095	6.3893628735059	6.48097586340378	6.42457093345788	6.71409268129716	6.6600177547158	7.38059522025665
"MCA_RS00105"	"WP_010959394.1"	NA	"phosphoribosylaminoimidazolesuccinocarboxamide synthase"	8.39110584107586	4.90134291992286	0.0211517818054353	0.0526278541557714	1.62618316782026	0.00635834555684991	0.113116542628899	1.27272699542954	0.123743165447805	0.213731788612297	1.22608607156319	0.186540191842622	0.671146384173987	-1.04210924025917	0.78087691420933	0.845555044911424	1.32632056226441	0.0768734482820945	0.328843691672723	1.56047284199862	0.0105567201530416	0.0278664336154702	8.24065070197841	7.99931242353242	8.05703505424366	8.33870737206542	8.83509373658223	9.22766637180131	8.20777658416741	8.05266679465752	8.21507435389275	8.45291104922712	8.33830761131149	8.72806803945058
"MCA_RS00110"	"WP_010959395.1"	NA	"multifunctional CCA addition/repair protein"	6.54470909633565	1.25046679805678	0.338613318282559	0.413784929230862	1.16645613911088	0.196835291084649	0.415573052627242	-1.14940047522484	0.239914226392234	0.352672971276028	1.10712245852679	0.383322869999763	0.822242159438226	-1.21099994882864	0.11562085597241	0.233859892173862	1.05359269891701	0.650424459031779	0.84694212072515	-1.03818729931133	0.744367909312321	0.819777730190366	6.58737578016297	6.41639250754886	6.2001229129977	6.33661196537063	6.83028769410846	6.70338772232178	6.63468238790657	6.66153105822812	6.73627416678633	6.44257175320611	6.51989452422229	6.46737668316795
"MCA_RS00115"	"WP_010959396.1"	NA	"sulfite exporter TauE/SafE family protein"	5.79863283775063	4.54138553180761	0.0264434877850403	0.0611304104055086	-1.07557639048646	0.641160859394513	0.779727701100063	-1.33320012576238	0.0851529606052052	0.161517377214918	-1.25789831968444	0.159427440787394	0.635568044358944	-1.55919208791958	0.013900783853181	0.0718246634185657	1.16951090672	0.325140271000521	0.618463765739854	-1.67703019799958	0.00592240877465033	0.0181556339814336	5.71069193202002	5.56781404413577	5.54619703839397	6.02597058375966	5.3891505647215	5.09425188798583	6.19833751263264	6.31543367821116	6.2333278481296	5.94752495249785	5.93173059221867	5.62316341830095
"MCA_RS00120"	"WP_010959397.1"	"pgl"	"6-phosphogluconolactonase"	7.3018535051272	13.2302342689057	0.000572090452835496	0.00843524076991475	-1.1503458794961	0.387581547395803	0.600347505257794	-2.54351097858114	8.98339663370158e-05	0.0047762602945457	1.23178576512438	0.207586462691057	0.698007257020854	-1.79502290377151	0.00316885711905356	0.0368533813455723	-1.41697967933278	0.0468169610646743	0.270323712049471	-2.06489720095468	0.000697236759360086	0.00536015605202966	7.54449197259477	7.00159725445574	7.25513468160682	7.29303112810767	7.15803789218571	6.74395176500751	8.08611015782632	8.1687811461402	8.07833936181645	6.41790667389789	7.19890962186994	6.67595040601734
"MCA_RS00125"	"WP_017364771.1"	"zwf"	"glucose-6-phosphate dehydrogenase"	8.03829920667723	1.84798233615617	0.196871378320788	0.268364445144696	1.28922872311833	0.24164872951381	0.462702396853148	-1.48013756872133	0.0825096440264589	0.157688563536389	1.26568042620514	0.275421040881605	0.757244319995187	-1.50767589373526	0.0708018180582404	0.170972861600831	1.01860524696885	0.930059162354161	0.970786478220315	-1.1694401983913	0.461799342182051	0.569133443656302	8.10092837469368	7.46943914533234	7.80545788902247	7.96351527701755	8.46880503172509	8.04302980863344	8.29889263024717	8.50936416798462	8.34454758478768	7.06177332788433	8.0904820602529	8.30335518254548
"MCA_RS00130"	"WP_041360504.1"	NA	"type III restriction enzyme, res subunit"	6.25452530107703	1.62130372063676	0.240820565483145	0.314967130276144	-1.38050099812346	0.0543884801434655	0.222919270642069	-1.0542133747641	0.731139303328528	0.810506398755638	-1.18431700870123	0.282751128058158	0.757244319995187	1.10570745232877	0.51613690912534	0.647773681530387	-1.16565158482133	0.328119447101101	0.622769889272616	-1.24852283053345	0.166441702030402	0.253804767349527	6.30066121405677	6.66037502096747	6.42601338450808	6.536816516863	5.81213261168724	5.64252469793088	6.29958492229706	6.22204454328293	6.43051096894359	6.1982833253897	6.24102845001127	6.28432795698635
"MCA_RS00135"	"WP_010959400.1"	NA	"IS256-like element ISMca5 family transposase"	-0.219508902256592	0.235611595031341	0.869692504154204	0.896898118020979	2.31758777365999	0.485809612732905	0.673735964983494	-1.54343875901364	0.716656846382465	0.800891752055275	1.57907698984402	0.702541647725007	0.948719373876653	-2.26528207319155	0.49747342708599	0.63230833914765	1.46768510247807	0.748162105272126	0.897616956206629	1.02309014894323	0.984722848850923	0.990273342362351	-3.05416030993164	1.8107779950714	-1.62453725474793	-0.768574592096142	2.84960788973619	-1.31108093066211	-0.729834448638885	2.02458459182239	-0.62359759474917	-0.673485607390637	2.206945173594	-2.74075173908658
"MCA_RS00140"	"WP_010959401.1"	NA	"nucleotidyltransferase family protein"	4.00004862358719	1.04658110861491	0.41044116137228	0.48551795727072	-1.30687712418537	0.149570580859298	0.357484296096336	-1.14598309348154	0.446881138159929	0.571412517723046	-1.02422013987891	0.892317195136999	0.974390626213496	1.11343080866343	0.546612894625299	0.667960076308837	-1.27597288248977	0.185946669769329	0.474477110142672	-1.17373896430453	0.373637171003335	0.484205683374124	4.13164418956728	4.39767433193464	4.14037715829336	4.31815080896012	3.65437789897968	3.53879646657772	4.0741116971598	3.91122871437831	4.21931954340768	3.66232892665322	4.10900554576313	3.84356820137133
"MCA_RS00145"	"WP_010959402.1"	NA	"endonuclease domain-containing protein"	3.67731658528831	2.20711019102712	0.144680811374012	0.212399274393698	-1.51620039326783	0.034798499299139	0.194436068335646	-1.11862830395207	0.530070743627624	0.647484722280541	-1.25864990046547	0.210312239549509	0.701151705126373	1.07687638991895	0.676668382566473	0.767802171464315	-1.20462440962106	0.304674191249887	0.599660494523625	-1.40796140342713	0.0734330260350898	0.130018895484196	4.02889389226026	4.03937376393088	3.69560447533978	3.7197792819745	3.13553005148202	3.10718146511818	4.00762308853319	3.67691529928052	3.75877576812521	3.61619337797784	3.45454451008699	3.88738404935036
"MCA_RS00150"	NA	NA	"site-specific DNA-methyltransferase"	4.92187587747861	1.21031419557419	0.3516039112706	0.42845104977249	-1.2640663758146	0.0925343561184295	0.28320555207588	-1.05932553060881	0.659287347278271	0.75743125920265	-1.07505308358863	0.580814990407533	0.925216316127126	1.10996818493046	0.429500601696885	0.575132593795431	-1.17581763646036	0.229155886440467	0.525741152476502	-1.13883117820516	0.328709831381249	0.438424326552036	5.19390621072944	5.18161246287022	4.93180011044298	4.8811120182896	4.90688790247032	4.50510220008496	5.11625647988733	4.91223996262431	4.82726736613148	4.70761887279	4.97398392835813	4.92472301506452
"MCA_RS00155"	"WP_010959403.1"	NA	"ISAs1 family transposase"	5.24107044269482	6.20423901845104	0.0100717720059396	0.0327764855085997	1.37111447997637	0.0435955471434103	0.204500292896699	1.63970006760164	0.00438792766358649	0.0206015241542691	-1.00969144282904	0.945722127786681	0.986545222314435	1.18440988037354	0.247176617703257	0.393123587568945	1.38440255757113	0.0385642150894164	0.246836879226948	1.62396153720724	0.00495904607052627	0.0159064912635405	4.80942915365882	5.28343983503184	5.12000925397992	5.59667316984961	5.67593286778016	5.3063193030729	4.80726016861477	4.89921391474788	4.77389886729076	5.20821903483878	5.71356205882097	5.69888768465146
"MCA_RS00160"	"WP_010959404.1"	NA	"ISAs1 family transposase"	3.93205368536097	3.73418618396536	0.0451313503940696	0.089407828703601	1.72360630199569	0.0538275035375913	0.222320806999426	1.90084827947385	0.0271506966922491	0.0683386415498684	-1.00686481671503	0.978843918294624	0.99353213784096	1.09531293214625	0.724941206287177	0.803748940012671	1.73543854334776	0.0513423285713107	0.281396245522922	1.88788827250465	0.028493408906312	0.0606885598404806	3.82477533404269	3.39728777202487	3.48705736520036	4.1372846674709	4.58684480477562	4.3412818344454	3.51356150758264	3.50414585050511	3.29738378820147	3.76738306717877	3.9844016399701	5.34323659293367
"MCA_RS00165"	"WP_010959405.1"	"dinD"	"DNA damage-inducible protein D"	-1.10102506458925	0.178023952345818	0.909063702924429	0.92647520529899	1.47871648698994	0.721019039860462	0.831818466297748	-1.90296029931733	0.558957808696742	0.673547490574977	1.45182173144725	0.733529385941444	0.950244216765124	-1.93821232162076	0.547983361558127	0.668826372477183	1.01852483329057	0.98659078322516	0.993258855006383	-1.31073964392333	0.804593741341317	0.864140516107725	-2.54228545108793	0.777325939430745	-2.69728061798598	-0.584953462650712	1.10193821670032	-3.28618846679142	-1.51418392969241	0.951294461666189	-1.03517080296313	-2.40612324724325	0.420385443241261	-2.39705885769473
"MCA_RS00170"	"WP_010959406.1"	NA	"DUF4868 domain-containing protein"	-1.80926879084019	0.286993761183796	0.833858121694151	0.871199339682521	1.5828556119096	0.727587738659455	0.836215843635516	-2.8937349092611	0.425905706163515	0.551097272523012	1.74802501288362	0.672261089419724	0.945376292229425	-2.62030835185058	0.469227772632417	0.609232805819401	-1.10434900045921	0.939821856034997	0.972891320005316	-1.65543106530694	0.702373642433131	0.786088286900253	-3.85479144423725	0.158117274043591	-3.16293476503855	-2.40637894025174	0.820547448313396	-3.28618846679142	-1.63488167664302	0.707421277455319	-1.76293875169938	-3.85479144423725	0.420385443241261	-3.85479144423725
"MCA_RS00180"	NA	NA	"DEAD/DEAH box helicase"	5.60840937154874	1.64456508525255	0.235833523331833	0.310183467591261	1.26066945273885	0.220006522125148	0.44110625254945	1.1071589615085	0.579129907558753	0.693446904708132	1.32309519002266	0.144282062228152	0.610080898323854	1.16198317757274	0.417246684952938	0.565211788951434	-1.04951792648595	0.791146341469256	0.9162072751723	1.46487669656237	0.0552807108631288	0.103115864728087	5.41547614680835	5.76218507503995	5.6116613482842	5.76992835281545	6.06758915868724	5.95437521138298	5.29001228464127	5.51187282794695	5.33766991002969	4.86187872393421	5.73520706725871	5.98305635175589
"MCA_RS00185"	"WP_010959409.1"	NA	"phosphogluconate dehydratase"	9.19087978255558	0.578680814337365	0.641018894946471	0.705958717637127	1.31841490518032	0.309793388197778	0.530549602712513	-1.04215710235806	0.876508123978766	0.916706600009517	1.34756691555675	0.274921548318574	0.757244319995187	-1.01961204406739	0.941707242546209	0.959487545677411	-1.02211140837523	0.93437695483128	0.97278481436646	1.29305544481504	0.343469253004563	0.453522962282472	8.99148050534127	8.99816864968332	9.28653595106878	9.648004313055	9.75936883021929	9.0652253366401	8.92919532236777	9.31345150815153	9.11759923637581	7.99354512744614	9.59282799754949	9.59515461276846
"MCA_RS00190"	"WP_010959410.1"	NA	"bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase"	7.4321602509497	4.10502641112579	0.0350879378398231	0.0746292724026525	-1.18962902886866	0.439622738070047	0.642900561507451	-2.08453499625239	0.00601561635780776	0.0246247834860815	1.24360230637308	0.335694152496568	0.791482320994904	-1.40901662941223	0.141638962833773	0.267023202698547	-1.47942540402944	0.0979076673189087	0.365851584693489	-1.67620708450747	0.0361680837587883	0.0731318653602699	7.72909811304879	7.21845666507153	7.58957102933311	7.77066411025698	7.39038711241801	6.62453931371736	7.93892979219356	8.10765128324457	7.97461064792812	6.38732893706791	7.45688898779868	6.99779701931772
"MCA_RS00195"	"WP_010959411.1"	"dhaL"	"dihydroxyacetone kinase subunit L"	6.93921726547894	8.28084788431103	0.00366335867314938	0.0193234206185427	-1.70494706369924	0.0788548854058049	0.264565118844919	-3.30609294042622	0.00117328495628698	0.0102848938509203	1.0400662625051	0.889169931385326	0.97389108928236	-1.86441741077739	0.0449736357014683	0.132303624716346	-1.77325792031072	0.0617494019326976	0.308411244748833	-3.17873299001466	0.00149014173341119	0.00764737711918129	7.78785445267449	6.83397727460898	6.71887340445493	7.01279768992476	6.55349018927321	5.46523641389621	7.9364497864269	8.12655872507535	7.97387129201988	5.94566068546868	6.81305351259557	6.10278375932827
"MCA_RS00200"	"WP_010959412.1"	"dhaK"	"dihydroxyacetone kinase subunit DhaK"	6.98940769055671	2.28656201334252	0.135401402521561	0.201647262370645	-1.16668323304284	0.260761319441796	0.481567114411604	-1.18135264543905	0.226308685024175	0.335645105955171	-1.18916361609565	0.209682830589968	0.701151705126373	-1.20411568791517	0.180933257920821	0.316659302523861	1.01926862614986	0.885964304818659	0.954236412114699	-1.40482158373447	0.0240856600115303	0.0531285867745246	7.07711564234824	7.10119328184024	6.73509258060419	7.0669531198314	6.66417651842097	6.5150331452362	7.19848657140633	7.35193072188817	7.16690623753394	7.13026121068829	7.13738054116621	6.7283627157163
